"Authors","Author full names","Author(s) ID",Title,"Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract",Keywords,"Publisher","Language of Original Document","Document Type","Publication Stage","Open Access","Source","EID"
"Zhou X.; Mao B.; Liu J.","Zhou, Xueming (58340513600); Mao, Bomin (57192679807); Liu, Jiajia (40461843700)","58340513600; 57192679807; 40461843700","A Novel Multi-Objective Routing Scheme based on Cooperative Multi-Agent Reinforcement Learning for Metaverse Services in Fixed 6G","2023","32nd Wireless and Optical Communications Conference, WOCC 2023","","","","","","","3","10.1109/WOCC58016.2023.10139544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162711454&doi=10.1109%2fWOCC58016.2023.10139544&partnerID=40&md5=8ea748e219fe40e18ee127d32f53c1d0","The 6th Generation Fixed networks (F6G) with holographic communication and omni-directional sensory coverage is expected to arrive in 2030. Due to the characteristics of cross-integration between the physical and digital worlds, metaverse has been widely recognized as an important application in F6G to be utilized in all walks of life in the future. However, the metaverse applications will generate diversified communication services with differentiated Quality of Service (QoS) requirements, which will be a great challenge for F6G to develop End-to-End (E2E) customized transmission strategies. Traditional single metric-based routing algorithms cannot efficiently orchestrate the network resources to meet the diversified QoS requirements. To solve the above problems, we propose a Cooperative Multi-Agent Reinforcement Learning (Co-MARL) routing algorithm, which measures the differentiated QoS demands through a generic utility function to facilitate multiple agents to solve the multi-objective optimization problem. The simulation results show our scheme outperforms the traditional routing algorithm in meeting the diversified QoS requirements.  © 2023 IEEE.","Cooperative Multi-Agent Reinforcement Learning; differentiated QoS requirements; F6G; multi-objective routing","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85162711454"
"Chua T.J.; Yu W.; Zhao J.","Chua, Terence Jie (57913208800); Yu, Wenhan (57913845600); Zhao, Jun (56698967300)","57913208800; 57913845600; 56698967300","Mobile Edge Adversarial Detection for Digital Twinning to the Metaverse with Deep Reinforcement Learning","2023","IEEE International Conference on Communications","2023-May","","","316","322","6","2","10.1109/ICC45041.2023.10279064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151264653&doi=10.1109%2fICC45041.2023.10279064&partnerID=40&md5=fa799130f384996bc1931c7e2b7442c9","Real-time Digital Twinning of physical world scenes onto the Metaverse is necessary for a myriad of applications such as augmented-reality (AR) assisted driving. In AR assisted driving, physical environment scenes are first captured by Internet of Vehicles (IoVs) and are uploaded to the Metaverse. A central Metaverse Map Service Provider (MMSP) will aggregate information from all IoVs to develop a central Metaverse Map. Information from the Metaverse Map can then be downloaded into individual IoVs on demand and be delivered as AR scenes to the driver. However, the growing interest in developing AR assisted driving applications which relies on digital twinning invites adversaries. These adversaries may place physical adversarial patches on physical world objects such as cars, signboards, or on roads, seeking to contort the virtual world digital twin. Hence, there is a need to detect these physical world adversarial patches. Nevertheless, as real-time, accurate detection of adversarial patches is compute-intensive, these physical world scenes have to be offloaded to the Metaverse Map Base Stations (MMBS) for computation. Hence in our work, we considered an environment with moving Internet of Vehicles (IoV), uploading real-time physical world scenes to the MMBSs. We formulated a realistic joint variable optimization problem where the MMSPs' objective is to maximize adversarial patch detection mean average precision (mAP), while minimizing the computed AR scene up-link transmission latency and IoVs' up-link transmission idle count, through optimizing the IoV-MMBS allocation and IoV up-link scene resolution selection. We proposed a Heterogeneous Action Proximal Policy Optimization (HAPPO) (discrete-continuous) algorithm to tackle the proposed problem. Extensive experiments shows HAPPO outperforms baseline models when compared against key metrics.  © 2023 IEEE.","adversarial; augmented reality; digital twin; Internet of Vehicles; Metaverse; multi-agent; reinforcement learning; resource allocation","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85151264653"
"Park S.; Baek H.; Kim J.","Park, Soohyun (57210251609); Baek, Hankyul (57374948000); Kim, Joongheon (8866990900)","57210251609; 57374948000; 8866990900","Spatio-Temporal Multi-Metaverse Dynamic Streaming for Hybrid Quantum-Classical Systems","2024","IEEE/ACM Transactions on Networking","32","6","","5279","5294","15","0","10.1109/TNET.2024.3453067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213481965&doi=10.1109%2fTNET.2024.3453067&partnerID=40&md5=7b2dcd600e2314233b33953330e22306","According to the challenges related to the limited availability of quantum bits (qubits) in the era of noisy intermediate-scale quantum (NISQ), the immediate replacement of all components in existing network architectures with quantum computing devices may not be practical. As a result, implementing a hybrid quantum-classical system is regarded as one of effective strategies. In hybrid quantum-classical systems, quantum computing devices can be used for computation-intensive applications, such as massive scheduling in dynamic environments. Furthermore, one of most popular network applications is advanced social media services such as metaverse. Accordingly, this paper proposes an advanced multi-metaverse dynamic streaming algorithm in hybrid quantum-classical systems. For this purpose, the proposed algorithm consists of three stages. For the first stage, three-dimensional (3D) point cloud data gathering should be conducted using spatially scheduled observing devices from physical-spaces for constructing virtual multiple meta-spaces in metaverse server. This is for massive scheduling over dynamic situations, i.e., quantum multi-agent reinforcement learning-based scheduling is utilized for scheduling dimension reduction into a logarithmic-scale. For the second stage, a temporal low-delay metaverse server's processor scheduler is designed for region-popularity-aware multiple virtual meta-spaces rendering contents allocation via modified bin-packing with hard real-time constraints. Lastly, a novel dynamic dynamic streaming algorithm is proposed for high-quality, differentiated, and stabilized meta-spaces rendering contents delivery to individual users via Lyapunov optimization theory. Our performance evaluation results verify that the proposed spatio-temporal algorithm outperforms benchmarks in various aspects over hybrid quantum-classical systems.  © 1993-2012 IEEE.","dynamic streaming; Hybrid quantum-classical systems; metaverse; quantum deep learning","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85213481965"
"Liu N.; Luan T.H.; Wang Y.; Liu Y.; Su Z.","Liu, Nan (59205016500); Luan, Tom H. (35248369400); Wang, Yuntao (57203372132); Liu, Yiliang (56078222800); Su, Zhou (56237795400)","59205016500; 35248369400; 57203372132; 56078222800; 56237795400","QoE-Oriented Cooperative VR Rendering and Dynamic Resource Leasing in Metaverse","2025","IEEE Transactions on Mobile Computing","","","","","","","0","10.1109/TMC.2025.3569695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005181870&doi=10.1109%2fTMC.2025.3569695&partnerID=40&md5=564377026402bf8ded5fc4d045377ee5","The rise of the Metaverse has ushered in a new era of social networking, offering users deeply engaging spaces to connect and participate in social activities. However, rendering these virtual environments is resource-intensive. With many users accessing simultaneously and requiring diverse Metaverse services, optimizing Metaverse resources to deliver the best quality-of-experience (QoE) for users is a significant challenge. In this paper, we propose a cooperative virtual reality (VR) rendering and dynamic resource leasing mechanism to address this issue. Specifically, we first introduce a cooperative VR scene pre-rendering framework between users and Planets (i.e., edge servers hosting users), and establish a new user QoE metric named EdgeVRQoE which considers both rendering delay and visual quality. We formulate the multidimensional rendering resources (e.g., GPU, CPU, and outbound bandwidth) leasing problem between Planets and users as a double-layer decision problem, and devise a hybrid action multi-agent reinforcement learning-based dynamic resource auction mechanism to efficiently allocate limited resources of Planets in a distributed and adaptive manner. Extensive simulations demonstrate that our proposed scheme outperforms the representatives in user QoE and resource utilization efficiency. Particularly, the proposed scheme shows at least an 18-fold improvement in QoE over other schemes, demonstrating its capability in providing immersive Metaverse experiences. © 2002-2012 IEEE.","cooperative VR rendering; dynamic resource leasing; MARL; Metaverse; QoE","Institute of Electrical and Electronics Engineers Inc.","English","Article","Article in press","","Scopus","2-s2.0-105005181870"
"Anagnostakis A.G.; Naxakis C.; Giannakeas N.; Tsipouras M.G.; Tzallas A.T.; Glavas E.","Anagnostakis, Aristidis G. (6505776848); Naxakis, Charilaos (58189222200); Giannakeas, Nikolaos (16174719000); Tsipouras, Markos G. (6506315682); Tzallas, Alexandros T. (8907554500); Glavas, Euripidis (21739013200)","6505776848; 58189222200; 16174719000; 6506315682; 8907554500; 21739013200","Scalable Consensus Over Finite Capacities in Multiagent IoT Ecosystems","2023","IEEE Internet of Things Journal","10","8","","6673","6688","15","6","10.1109/JIOT.2022.3162103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142269441&doi=10.1109%2fJIOT.2022.3162103&partnerID=40&md5=397e7cb10b311f4868dc0eee989a8290","In the real world, consensus achievement is an adaptive and evolutionary process. Tailor-made mechanisms are engaging in the light of disputes to resolve emerging contradictions between the atoms. Most of the dominant blockchain architectures tend to oversee this fact. They come integrated with rigid, overkilling consensus-achievement procedures, which, in many cases, are not necessary or significantly beneficial. They often raise overwhelming demands on the nodes and prohibit the deployment of fully distributed and peer blockchain operation in the IoT world. Still, for the IoT ecosystems and the metaverse to become self-sustainable and self-evolving, robust validity mechanisms must be embedded in the atomic scale. This work investigates the process of building and sustaining scalable consensus policies over the trivial atomic capacities of the IoT ecosystems. For this, we deploy the IoT microblockchain framework as an atomic consistency tier and we define a primary set of validity rules that every node can easily carry out. The initial concept relies on Gödel's incompleteness theorems and K. Friston's free energy principle and is investigated under the perspectives of graph and game theory. To study the dynamic behavior of the system, a competitive game among the nodes is run. The Proof of Existence (PoE) is utilized as a universal proofing case. Its feasibility is demonstrated, and its complexity is analyzed under various system considerations. The findings prove that finite-capacity atoms can collectively and efficiently support verifiable validity and scalable consensus in the evolutionary IoT ecosystems and the metaverse, even under conditions of high diversity, trivial capacity, and eventual consistency.  © 2014 IEEE.","Artificial intelligence (AI)-intensive multiagent systems; evolutionary systems; IoT microblockchain; IoT sustainable transactional trust; peer IoT ecosystems; rational metaverse; reality modeling; scalable consensus; validity in IoT ecosystems","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85142269441"
"Chen J.; Kang J.; Xu M.; Wu F.; Zhang H.; Huang H.; Niyato D.; Mao S.","Chen, Junlong (58114654500); Kang, Jiawen (55960988400); Xu, Minrui (57221948855); Wu, Fan (57195228222); Zhang, Hongliang (56907953500); Huang, Huawei (56183488900); Niyato, Dusit (8919714700); Mao, Shiwen (59451558900)","58114654500; 55960988400; 57221948855; 57195228222; 56907953500; 56183488900; 8919714700; 59451558900","Efficient Twin Migration in Vehicular Metaverses: Multi-Agent Split Deep Reinforcement Learning with Spatio-Temporal Trajectory Generation","2025","IEEE Transactions on Mobile Computing","","","","","","","0","10.1109/TMC.2025.3558918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002473857&doi=10.1109%2fTMC.2025.3558918&partnerID=40&md5=59957e85b5c5e0021acbf8f819d5b61d","Vehicle Twins (VTs) as digital representations of vehicles can provide users with immersive experiences in vehicular metaverse applications, e.g., Augmented Reality (AR) navigation and embodied intelligence. VT migration is an effective way that migrates the VT when the locations of physical entities keep changing to maintain seamless immersive VT services. However, an efficient VT migration is challenging due to the rapid movement of vehicles, dynamic workloads of Roadside Units (RSUs), and heterogeneous resources of the RSUs. To achieve efficient migration decisions and a minimum latency for the VT migration, we propose a multi-agent split Deep Reinforcement Learning (DRL) framework combined with spatio-temporal trajectory generation. In this framework, multiple split DRL agents utilize split architecture to efficiently determine VT migration decisions. Furthermore, we propose a spatio-temporal trajectory generation algorithm based on trajectory datasets and road network data to simulate vehicle trajectories, enhancing the generalization of the proposed scheme for managing VT migration in dynamic network environments. Finally, experimental results demonstrate that the proposed scheme not only enhances the Quality of Experience (QoE) by 29% but also reduces the computational parameter count by approximately 25% while maintaining similar performances, enhancing users' immersive experiences in vehicular metaverses.  © 2002-2012 IEEE.","deep reinforcement learning; Digital Twins; service migration; vehicular metaverse","Institute of Electrical and Electronics Engineers Inc.","English","Article","Article in press","","Scopus","2-s2.0-105002473857"
"Yu D.","Yu, Dongxing (57968482300)","57968482300","AI-Empowered Metaverse Learning Simulation Technology Application","2023","2023 International Conference on Intelligent Metaverse Technologies and Applications, iMETA 2023","","","","","","","8","10.1109/iMETA59369.2023.10294830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178067294&doi=10.1109%2fiMETA59369.2023.10294830&partnerID=40&md5=fc3a17353517f62148e7b16133e1f9f8","This paper proposes an immersive and adaptive virtual learning system incorporating artificial intelligence and multi-agent technologies to provide personalized and engaging education tailored to individual students. A prototype system was developed and tested for an English language learning task, demonstrating over 30% improvement versus conventional teaching. However, challenges remain for large-scale classroom implementation, including development costs, technology readiness differences, risks of over-reliance on technology lacking human interactions, and formulating new pedagogical models. Further research is required to address these open issues before realizing the full potential of AI-enabled immersive learning environments for transforming education. The paper provides a conceptual framework and system design for intelligent customizable virtual learning tailored to students' knowledge states, skill levels, interests, and learning styles. Preliminary experimentation validated gains in outcomes and engagement versus conventional classrooms. While substantial hurdles exist for translation to mainstream adoption, prudent integration of immersive technologies could enable more stimulating and effective education worldwide. With continued systemic research and adoption, AI-driven VR heralds a new era in technology-enhanced yet human-centric pedagogy to prepare learners for the modern digital world.  © 2023 IEEE.","Adaptive Education; Artificial Intelligence; Immersive Learning; Personalized Learning; Virtual Reality","Institute of Electrical and Electronics Engineers Inc.","English","Conference paper","Final","","Scopus","2-s2.0-85178067294"
"Hare R.; Tang Y.","Hare, Ryan (57215116915); Tang, Ying (57791491500)","57215116915; 57791491500","Hierarchical Deep Reinforcement Learning With Experience Sharing for Metaverse in Education","2023","IEEE Transactions on Systems, Man, and Cybernetics: Systems","53","4","","2047","2055","8","34","10.1109/TSMC.2022.3227919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146249994&doi=10.1109%2fTSMC.2022.3227919&partnerID=40&md5=01836a4f51bfe499d1fc368e737918fd","Metaverse has gained increasing interest in education, with much of literature focusing on its great potential to enhance both individual and social aspects of learning. However, little work has been done to address the systems and technologies behind providing meaningful Metaverse learning. This article proposes a technical framework to address this research gap, where a hierarchical multiagent reinforcement learning approach with experience sharing is developed to augment the intelligence of nonplayer characters in Metaverse learning for personalization. The utility and benefits of the proposed framework and methodologies are demonstrated in Gridlock, a Metaverse learning game, as well as through extensive simulations.  © 2013 IEEE.","ACP; experience sharing; metaverse learning; reinforcement learning (RL)","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85146249994"
"Shapiro E.; Talmon N.","Shapiro, Ehud (7202925726); Talmon, Nimrod (55537220900)","7202925726; 55537220900","Foundations for Grassroots Democratic Metaverse","2022","Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","3","","","1814","1818","4","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134345580&partnerID=40&md5=b2e674ebf1254b9e428aa9ccca3cfc1f","While the physical lives of many of us are in democracies (one person, one vote - e.g., the EU and the US), our digital lives are mostly in autocracies (one person, all votes - e.g., Facebook). Cryptocurrencies promise liberation but stop short, at plutocracy (one coin, one vote). What would it take for us to live in a digital democracy? This paper offers a vision, a theoretical framework, and an architecture for a grassroots network of autonomous, people-owned, people-operated, and people-governed digital communities, namely a grassroots democratic metaverse. It also charts a roadmap towards realizing it, and identifies unexplored territory for MAS research. © 2022 International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org). All rights reserved.","Blockchain; Democratic DAO; Digital Democracy; Digital Social Contracts; Grassroots Cryptoeconomy; Grassroots Protocol Stack; On-Chain Governance; Personal & Community Cryptocurrency; Social Choice; Sybil Resilience","International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)","English","Conference paper","Final","","Scopus","2-s2.0-85134345580"
"Chen J.; Nie J.; Xu M.; Lyu L.; Xiong Z.; Kang J.; Tong Y.; Jiang W.","Chen, Junlong (58114654500); Nie, Jiangtian (57197710559); Xu, Minrui (57221948855); Lyu, Lingjuan (57189234207); Xiong, Zehui (57201881045); Kang, Jiawen (55960988400); Tong, Yongju (58259133300); Jiang, Wenchao (58749574200)","58114654500; 57197710559; 57221948855; 57189234207; 57201881045; 55960988400; 58259133300; 58749574200","Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses","2023","ACM Web Conference 2023 - Companion of the World Wide Web Conference, WWW 2023","","","","1258","1265","7","6","10.1145/3543873.3587573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159618120&doi=10.1145%2f3543873.3587573&partnerID=40&md5=273da176ab85c84fbb5f955ea7dd5910","Vehicular Metaverses are widely considered as the next Internet revolution to build a 3D virtual world with immersive virtual-real interaction for passengers and drivers. In vehicular Metaverse applications, avatars are digital representations of on-board users to obtain and manage immersive vehicular services (i.e., avatar tasks) in Metaverses and the data they generate. However, traditional Internet of Vehicles (IoV) data management solutions have serious data security risks and privacy protection. Fortunately, blockchain-based Web 3.0 enables avatars to have an ownership identity to securely manage the data owned by users in a decentralized and transparent manner. To ensure users' immersive experiences and securely manage their data, avatar tasks often require significant computing resources. Therefore, it is impractical for the vehicles to process avatar tasks locally, massive computation resources are needed to support the avatar tasks. To this end, offloading avatar tasks to nearby RoadSide Units (RSUs) is a promising solution to avoid computation overload. To ensure real-time and continuous Metaverse services, the avatar tasks should be migrated among the RSUs when the vehicle navigation. It is challenging for the vehicles to independently decide whether migrate or not according to current and future avatar states. Therefore, in this paper, we propose a new avatar task migration framework for vehicular Metaverses. We then formulate the avatar task migration problem as a Partially Observable Markov Decision Process (POMDP), and apply a Multi-Agent Deep Reinforcement Learning (MADRL) algorithm to dynamically make migration decisions for avatar tasks. Numerous results show that our proposed algorithm outperforms existing baselines for avatar task migration and enables immersive vehicular Metaverse services.  © 2023 ACM.","avatar migration; multi-agent deep reinforcement learning; vehicular Metaverse","Association for Computing Machinery, Inc","English","Conference paper","Final","","Scopus","2-s2.0-85159618120"
"Miao Q.; Lyu Y.","Miao, Qinghai (55272781700); Lyu, Yisheng (57567499900)","55272781700; 57567499900","Parallel transportation systems in era of metaverse; [元宇宙下的平行交通系统]","2023","Chinese Journal of Intelligent Science and Technology","5","1","","32","40","8","1","10.11959/j.issn.2096-6652.202302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171262282&doi=10.11959%2fj.issn.2096-6652.202302&partnerID=40&md5=692e752399fd943c9bcadc3c0a6bdd6c","As the metaverse receives more and more attention, how the metaverse will affect the development of the transportation system has also become a hot topic. The origin and current status of the metaverse were introduced, the incubation period, development period and maturity period of the future development of the metaverse were prospected, and the potential problems brought about by the metaverse were also discussed. Combined with the need theory of Mas-low, it was analyzed and pointed out that the metaverse would gradually affect urban travel demands, and would bring about profound changes in traffic after entering the mature period. The parallel intelligence methods would play an essential role in guiding the healthy development of the metaverse and effectively serving social travel. The implementation of the parallel transportation system would play a key role in traffic planning, precise control, fine service, emergency management, etc. © 2023 Beijing Xintong Media Co., Ltd.. All rights reserved.","digital twins; intelligent transportation system; metaverse; parallel system; parallel transportation system","Beijing Xintong Media Co., Ltd.","Chinese","Article","Final","","Scopus","2-s2.0-85171262282"
"Seid A.M.; Abishu H.N.; Rathore R.S.; Erbad A.; Jhaveri R.H.; Lu J.","Seid, Abegaz Mohammed (57221744853); Abishu, Hayla Nahom (57440252300); Rathore, Rajkumar Singh (35226782700); Erbad, Aiman (24528481900); Jhaveri, Rutvij H. (55201717100); Lu, Jianfeng (55547138975)","57221744853; 57440252300; 35226782700; 24528481900; 55201717100; 55547138975","Blockchain-Empowered Multi-Domain Resource Trading in TN-NTN 6G Networks: A Hierarchical Multi-Agent DRL Approach","2024","IEEE Transactions on Consumer Electronics","","","","","","","1","10.1109/TCE.2024.3512581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212054283&doi=10.1109%2fTCE.2024.3512581&partnerID=40&md5=e116aeeb8725b206d9487ea0ae8b4b72","The advent of 6G networks promises transformative advances in communication technologies, ushering in an era of unprecedented connectivity, low-latency communication, and ubiquitous computing. However, one of the key challenges in realizing the full potential of 6G lies in efficiently managing and trading resources across diverse domains in terrestrial and non-terrestrial integrated networks (TN-NTN). In this paper, we introduce a novel multi-domain resource trading approach that integrates blockchain technology, hierarchical multi-agent deep reinforcement learning (HMADRL), and multi-leader multi-follower (MLMF) Stackelberg games to address this challenge. HMADRL provides an intelligent and adaptable framework for resource requesters and provider agents to learn optimal resource allocation methods in multiple domains. The MLMF Stackelberg game framework represents the strategic interactions between virtual service providers (SPs), network operators, and computing resource providers to enable them to make dynamic resource allocation and pricing decisions. This hierarchical decision-making strategy ensures a structured bargaining mechanism where leaders optimize their revenue by setting resource pricing and followers strategically decide on their resource-buying strategies. In the proposed scheme, the blockchain includes smart contracts that autonomously execute resource trading agreements, ensuring that transactions are tamper-proof and executed according to predefined rules. The proposed method optimizes the system's utility by dynamically adjusting the pricing strategy to changing resource demands. The simulation results show that our proposed HMADRL algorithm increases the utility by 19.645%, 33.018%, and 48.791% compared to the modified multi-agent deep deterministic policy gradient (MADDPG), MADDPG, and DDPG algorithms, respectively.  © 1975-2011 IEEE.","Aerial-MEC; consortium blockchain; HMADRL; Metaverse; network slicing; resource trading; Stackelberg game; TN-NTN","Institute of Electrical and Electronics Engineers Inc.","English","Article","Article in press","","Scopus","2-s2.0-85212054283"
"","","","32nd Wireless and Optical Communications Conference, WOCC 2023","2023","32nd Wireless and Optical Communications Conference, WOCC 2023","","","","","","208","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162726257&partnerID=40&md5=164a1793243a6c432f1b9ed4a7f849ab","The proceedings contain 37 papers. The topics discussed include: hands-on active learning approach to teach artificial intelligence/machine learning to elementary and middle school students; parametric precoding based on improved dynamic gradient descent in multibeam satellite communications; heterogeneous multi-agent reinforcement learning for joint active and passive beamforming in IRS assisted communications; a novel multi-objective routing scheme based on cooperative multi-agent reinforcement learning for metaverse services in fixed 6G; an efficient pulse position modulation scheme to improve the bit rate of photoacoustic communication; recent progress in optical access and home networking standards; physical layer security communications and path planning for UAV base stations; novel resonance manipulation method in coupled resonators using ‘coupling structure technique’ for quantum coherence effect and optical communication applications; phasor analysis of the symmetric crisscrossed-assisted coupled-ring reflector; and combined signal representations for modulation classification using deep learning: ambiguity function, constellation diagram, and eye diagram.","","Institute of Electrical and Electronics Engineers Inc.","English","Conference review","Final","","Scopus","2-s2.0-85162726257"
"Kang J.; Zhang J.; Yang H.; Ye D.; Hossain M.S.","Kang, Jiawen (55960988400); Zhang, Junhong (58577624000); Yang, Helin (55648216400); Ye, Dongdong (57190404550); Hossain, M. Shamim (24066717900)","55960988400; 58577624000; 55648216400; 57190404550; 24066717900","When Metaverses Meet Vehicle Road Cooperation: Multiagent DRL-Based Stackelberg Game for Vehicular Twins Migration","2024","IEEE Internet of Things Journal","11","22","","35928","35941","13","4","10.1109/JIOT.2024.3391296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190801114&doi=10.1109%2fJIOT.2024.3391296&partnerID=40&md5=ec0c225f8a2db2083ce5cec903b4dd36","Vehicular metaverses represent emerging paradigms arising from the convergence of vehicle road cooperation, metaverse, and Augmented Intelligence of Things. Users engaging with vehicular metaverses (VMUs) gain entry by consistently updating their vehicular twins (VTs), which are deployed on roadside units (RSUs) in proximity. The constrained RSU coverage and the consistently moving vehicles necessitate the continuous migration of VTs between RSUs through vehicle road cooperation, ensuring uninterrupted immersion services for VMUs. Nevertheless, the VT migration process faces challenges in obtaining adequate bandwidth resources from RSUs for timely migration, posing a resource trading problem among RSUs. In this article, we tackle this challenge by formulating a game-theoretic incentive mechanism with multileader multifollower, incorporating insights from social-awareness and queueing theory to optimize VT migration. To validate the existence and uniqueness of the Stackelberg equilibrium (SE), we apply the backward induction method. Theoretical solutions for this equilibrium are then obtained through the alternating direction method of multipliers (ADMMs) algorithm. Moreover, owing to incomplete information caused by the requirements for privacy protection, we proposed a multiagent deep reinforcement learning algorithm named multiagent long short-term memory-based proximal policy optimization (MALPPO). MALPPO facilitates learning the SE without requiring private information from others, relying solely on past experiences. Comprehensive experimental results demonstrate that our MALPPO-based incentive mechanism outperforms baseline approaches significantly, showcasing rapid convergence and achieving the highest reward. © 2014 IEEE.","Alternating direction method of multiplier (ADMM); deep reinforcement learning (DRL); metaverse; multileader multifollower Stackelberg game; vehicle road cooperation","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85190801114"
"Lotfi I.; Niyato D.; Sun S.; Kim D.I.; Shen X.","Lotfi, Ismail (59934692200); Niyato, Dusit (8919714700); Sun, Sumei (7404509781); Kim, Dong In (35476060100); Shen, Xuemin (58930166400)","59934692200; 8919714700; 7404509781; 35476060100; 58930166400","Semantic Information Marketing in the Metaverse: A Learning-Based Contract Theory Framework","2024","IEEE Journal on Selected Areas in Communications","42","3","10368063","710","723","13","7","10.1109/JSAC.2023.3345402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182379804&doi=10.1109%2fJSAC.2023.3345402&partnerID=40&md5=929e3da7b604ca2dced9492f505ffd3b","In this paper, we address the problem of designing incentive mechanisms by a virtual service provider (VSP) to hire sensing IoT devices to sell their sensing data to help creating and rendering the digital copy of the physical world in the Metaverse. Due to the limited bandwidth, we propose to use semantic extraction algorithms to reduce the delivered data by the sensing IoT devices. Nevertheless, mechanisms to hire sensing IoT devices to share their data with the VSP and then deliver the constructed digital twin to the Metaverse users are vulnerable to adverse selection problem. The adverse selection problem, which is caused by information asymmetry between the system entities, becomes harder to solve when the private information of the different entities are multi-dimensional. We propose a novel iterative contract design and use a new variant of multi-agent reinforcement learning (MARL) to solve the modelled multi-dimensional contract problem. To demonstrate the effectiveness of our algorithm, we conduct extensive simulations and measure several key performance metrics of the contract for the Metaverse. Our results show that our designed iterative contract is able to incentivize the participants to interact truthfully, which maximizes the profit of the VSP with minimal individual rationality (IR) and incentive compatibility (IC) violation rates. Furthermore, the proposed learning-based iterative contract framework has limited access to the private information of the participants, which is to the best of our knowledge, the first of its kind in addressing the problem of adverse selection in incentive mechanisms.  © 2023 IEEE.","age of information; contract theory; deep reinforcement learning; Digital twin; semantic communication","Institute of Electrical and Electronics Engineers Inc.","English","Article","Final","","Scopus","2-s2.0-85182379804"
"Hernández-Rodríguez J.C.; García-Perdomo V.","Hernández-Rodríguez, Juan Camilo (56452727400); García-Perdomo, Víctor (56888821400)","56452727400; 56888821400","I enjoy 360° video news more, but understand them less! Gratification gained in virtual reality journalism research; [Gosto mais das notícias em vídeo 360°, mas as entendo menos! Gratificações obtidas com a pesquisa de jornalismo de realidade virtual]; [¡Disfruto más, pero comprendo menos, las noticias en video 360°! Gratificaciones obtenidas en la investigación del periodismo de realidad virtual]","2023","Cuadernos.info","","56","","313","333","20","3","10.7764/cdi.56.60193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175344676&doi=10.7764%2fcdi.56.60193&partnerID=40&md5=532f1de175e77fcfcd02d5a6bca0f075","Thanks to technologies such as virtual reality (VR), the metaverse promises to haveaplaceforjournalism.Itsdevelopment,however,isunclear.Thisexperimentalresearch aimstoshedlightonwhatrealgratifications(obtainedgratifications,OG)usersmightgain fromexposureto360ºvideonewsstories,experiencedwithOculusQuestgoggles,compared tothoseexposedtoamultimediareportageonacomputerscreen.ThestudyanalyzesOGsfor knowledge, comprehension, credibility, emotionalengagement, empathy, andenjoyment. ThegratificationreportedbytheparticipantsexposedtoVR(universitystudents)wasthat of enjoyment and, consistently, this virtual content generated greater satisfaction than traditionalmultimedia.Nonetheless,theresearchshowsthatmultimedianewsstorieswith astrongtextualcomponentstillyieldbetterresultsinknowledgeandunderstandingofthe newseventwhencomparedtoimmersivetechnologies. © 2023 Pontificia Universidad Catolica de Chile. All rights reserved.","360° video; credibility; enjoyment; knowledge; understanding; uses and gratifications; virtual reality journalism","Pontificia Universidad Catolica de Chile","Spanish","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85175344676"
