ID,Title,Platform_Type,Agent_Role,Application_Domain,Evaluation_Method,Metrics,Challenges,Year,Venue
90,Multiagent Deep Reinforcement Learning for Dynamic Avatar Migration in AIoT-Enabled Vehicular Metaverses With Trajectory Prediction,"['Digital twins', 'VR/AR']","['Assistant', 'Coordinator', 'Executor']",['Smart cities'],['Simulation'],"['Task completion', 'Accuracy', 'Realism']","['Scalability', 'Trust', 'Realism']",2024,IEEE Internet Of Things Journal
91,Multiple-Agent Deep Reinforcement Learning for Avatar Migration in Vehicular Metaverses,"['VR/AR', 'Blockchain-based']","['Avatar', 'Executor']","['Smart cities', 'Gaming']",['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Trust', 'Realism']",2023,ACM Web Conference
92,Navigating the metaverse: unraveling the impact of artificial intelligence—a comprehensive review and gap analysis,"['VR/AR', 'Blockchain-based']","['Assistant', 'Coordinator']","['Education', 'Healthcare', 'Gaming', 'Smart cities']","['Simulation', 'User studies', 'Qualitative methods']","['Accuracy', 'Realism', 'User satisfaction']","['Scalability', 'Interoperability', 'Trust', 'Ethics']",2024,Artificial Intelligence Review
93,On a Cooperative Deep Reinforcement Learning-Based Multi-Objective Routing Strategy for Diversified 6G Metaverse Services,['Digital twins'],['Coordinator'],"['Smart cities', 'Industry 4.0']",['Simulation'],"['Latency', 'Efficiency']","['Scalability', 'Interoperability']",2024,IEEE Transactions On Vehicular Technology
94,On a Hierarchical Content Caching and Asynchronous Updating Scheme for Non-Terrestrial Network-Assisted Connected Automated Vehicles,['Social simulation'],"['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0']","['Simulation', 'Benchmarks']","['Realism', 'Latency']","['Scalability', 'Trust', 'Interoperability', 'Realism']",2024,IEEE Journal On Selected Areas In Communications
95,Parallel Transportation in TransVerse: From Foundation Models to DeCAST,"['Digital twins', 'Blockchain-based']","['Executor', 'Coordinator']","['Smart cities', 'Emergency response']","['Simulation', 'Benchmarks', 'Case studies']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability', 'Realism']",2023,IEEE Transactions on Intelligent Transportation Systems
96,Privacy-Preserving Platooning Control of Vehicular Cyber–Physical Systems With Saturated Inputs,['Digital twins'],['Coordinator'],['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Trust', 'Scalability', 'Ethics']",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
97,Proposta de Agente autônomo utilizando as técnicas de mineração de processos em uma Arquitetura Virtual baseada em Sistemas Multiagentes,['Digital twins'],['Coordinator'],['Industry 4.0'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability', 'Realism']",2021,14th IEEE International Conference on Industry Applications
98,"Prospects for multi-agent collaboration and gaming: challenge, technology, and application","['Game-based', 'Digital twins']","['Executor', 'Coordinator']","['Smart cities', 'Industry 4.0', 'Gaming']","['Simulation', 'Benchmarks']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2022,Frontiers of Information Technology & Electronic Engineering
99,QoE-Oriented Cooperative VR Rendering and Dynamic Resource Leasing in Metaverse,['VR/AR'],"['Executor', 'Coordinator']","['Gaming', 'Social interaction']",['Simulation'],"['Realism', 'Latency', 'Efficiency']","['Scalability', 'Realism']",2025,IEEE Transactions On Mobile Computing
100,QoI-Aware Mobile Crowdsensing for Metaverse by Multi-Agent Deep Reinforcement Learning,['VR/AR'],['Coordinator'],"['Emergency response', 'Smart cities']",['Simulation'],"['Realism', 'Efficiency']","['Scalability', 'Realism']",2023,IEEE Journal On Selected Areas In Communications
101,Quantum Reinforcement Learning for Spatio-Temporal Prioritization in Metaverse,"['Digital twins', 'VR/AR']",['Coordinator'],"['Smart cities', 'Industry 4.0']",['Simulation'],"['Latency', 'Accuracy', 'Realism']","['Scalability', 'Realism']",2024,IEEE Access
102,Quantum-enhanced Federated Learning for Metaverse-empowered Vehicular Networks,"['Digital twins', 'VR/AR']",['Coordinator'],"['Smart cities', 'Industry 4.0']",['Simulation'],"['Latency', 'Accuracy', 'Efficiency']","['Scalability', 'Realism']",2024,IEEE Transactions On Communications
103,Reputation-Based Trust Assessment of Transacting Service Components,['Social simulation'],['Coordinator'],['Smart cities'],['Simulation'],"['Realism']","['Scalability', 'Trust']",2023,IEEE Conference On Computer Software And Applications
104,A Multi-Agent DRL-Based Framework for Optimal Resource Allocation and Twin Migration in the Multi-Tier Vehicular Metaverse,"['Digital twins', 'Social simulation']","['Avatar', 'Environment simulator', 'Coordinator', 'Executor']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Task completion', 'Latency', 'Realism']","['Scalability', 'Trust', 'Interoperability', 'Realism']",2025,arXiv preprint arXiv:2502.19004
105,Resource Allocation and QoE Maximization in Aerial MEC-empowered Metaverse Service: A CCM-Multi-agent DRL approach,['VR/AR'],['Coordinator'],"['Healthcare', 'Smart cities', 'Gaming']",['Simulation'],"['Latency', 'Realism', 'Efficiency']","['Scalability', 'Realism', 'Interoperability']",2024,IEEE Global Communications Conference
106,Resource Allocation for Metaverse Experience Optimization: A Multi-Objective Multi-Agent Evolutionary Reinforcement Learning Approach,['VR/AR'],['Coordinator'],"['Education', 'Gaming', 'Healthcare']",['Simulation'],"['Realism', 'Efficiency', 'Latency', 'User satisfaction']","['Scalability', 'Realism', 'Efficiency']",2025,IEEE Transactions On Mobile Computing
107,Robotics in Metaverse,['VR/AR'],['Coordinator'],"['Healthcare', 'Industry 4.0', 'Education']","['Simulation', 'User studies']","['Task completion', 'Latency', 'Realism']","['Scalability', 'Realism', 'Interoperability', 'Scalability']",2025,Human-Centered Metaverse
108,Scalable Consensus Over Finite Capacities in Multiagent IoT Ecosystems,['Blockchain-based'],['Coordinator'],"['Smart cities', 'Industry 4.0']","['Simulation', 'Benchmarks']","['Scalability', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2023,IEEE Internet Of Things Journal
109,Securing Distributed Computing in the Metaverse: A Balanced TGDH Encryption Scheme,['Blockchain-based'],['Coordinator'],"['Smart cities', 'Industry 4.0']","['Simulation', 'Benchmarks']","['Latency', 'Accuracy']","['Scalability', 'Trust']",2023,IEEE International Conference on Metaverse Computing
110,Securing the Metaverse: The Intersection of ML-Based Oracles and Blockchain Technology,['Blockchain-based'],['Coordinator'],"['Smart cities', 'Industry 4.0']","['Simulation', 'Benchmarks']","['Latency', 'Accuracy']","['Scalability', 'Trust']",2024,International Conference On Intelligent Metaverse Technologies & Applications
111,Semantic Information Marketing in the Metaverse: A Learning-Based Contract Theory Framework,['Digital twins'],['Coordinator'],['Industry 4.0'],['Simulation'],"['Latency', 'Accuracy']","['Scalability', 'Trust']",2024,IEEE Journal On Selected Areas In Communications
112,Semantic-Aware Blockchain Architecture Design for Edge-enabled Metaverse,['Blockchain-based'],['Coordinator'],['Industry 4.0'],['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Trust']",2023,"2023 IEEE 14th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)"
113,Sharing Traffic Priorities via Cyber–Physical–Social Intelligence: A Lane-Free Autonomous Intersection Management Method in Metaverse,['Digital twins'],['Coordinator'],['Smart cities'],['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Trust']",2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
114,Smart Farm Security by Combining IoT Sensor Network and Virtualized Mycelium Network,['VR/AR'],['Coordinator'],['Smart cities'],['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Interoperability']",2023,Sensors
115,Spatio-Temporal Multi-Metaverse Dynamic Streaming for Hybrid Quantum-Classical Systems,"['VR/AR', 'Social simulation']",['Coordinator'],['Smart cities'],['Simulation'],"['Scalability', 'Latency', 'Accuracy']","['Scalability', 'Realism', 'Interoperability']",2024,IEEE Transactions On Networking
116,Swarm Metaverse for Multi-Level Autonomy Using Digital Twins,['Digital twins'],['Coordinator'],['Smart cities'],['Simulation'],"['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Interoperability']",2023,Sensors
117,Technology for Synergistic Solutions Co-Creation Based on Multi-Agents’ Diversities Interaction,['Social simulation'],['Coordinator'],['Industry 4.0'],['User studies'],"['Scalability', 'Accuracy']",['Scalability'],2023,Information Technology And Implementation
118,The 3rd International Workshop on Deep Learning for the Web of Things,['Blockchain-based'],"['Avatar', 'Executor']",['Smart cities'],['Simulation'],"['Task completion', 'Latency']","['Scalability', 'Trust', 'Interoperability']",2023,ACM Web Conference
119,The impact of eye gaze on social interactions of females in virtual reality: The mediating role of the uncanniness of avatars and the moderating role of task type,['VR/AR'],['Avatar'],['Social interaction'],"['User studies', 'Quantitative Research']","['Task completion', 'Accuracy']","['Interoperability', 'Realism', 'Trust']",2023,Heliyon
120,The Matrix: Quantum AI for Interacting Two Worlds in Prioritized Metaverse Spaces,['VR/AR'],"['Executor', 'Coordinator']",['Gaming'],['Simulation'],"['Realism', 'User satisfaction', 'Efficiency']","['Scalability', 'Realism']",2024,IEEE Communications Magazine
121,"The Simulation Methods in Library and Information Science: Method, Application and Future Directions",['Social simulation'],"['Executor', 'Coordinator']","['Education', 'Industry 4.0']","['Simulation', 'Qualitative methods']","['Accuracy', 'Task completion', 'Efficiency']","['Realism', 'Efficiency', 'Scalability', 'Trust']",2022,Knowledge Of Library And Information Science
122,The Transformation of the New Media Communication Paradigm in the Metaverse Era and Blockchain Based on the Topological Characteristics of Information Communication,"['VR/AR', 'Social simulation']","['Avatar', 'Coordinator']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Accuracy', 'Efficiency']","['Ethics', 'Scalability']",2024,International Journal Of Web Services Research
123,Tiny Multiagent DRL for Twins Migration in UAV Metaverses: A Multileader Multifollower Stackelberg Game Approach,"['Digital twins', 'VR/AR']","['Avatar', 'Executor', 'Coordinator']","['Emergency response', 'Smart cities']",['Simulation'],"['Task completion', 'Realism']","['Scalability', 'Realism']",2024,IEEE Internet Of Things Journal
124,TMETA: Trust Management for the Cold Start of IoT Services With Digital-Twin-Aided Blockchain,"['Digital twins', 'Blockchain-based']","['Coordinator', 'Assistant', 'Executor', 'Environment simulator']",['Industry 4.0'],"['Simulation', 'Quantitative Research']","['Task completion', 'Accuracy', 'Efficiency']","['Scalability', 'Trust', 'Ethics']",2023,IEEE IOT Journal
125,Toward Human Digital Twins for Cybersecurity Simulations on the Metaverse: Ontological and Network Science Approach,"['Digital twins', 'Social simulation']","['Avatar', 'Executor', 'Coordinator']","['Healthcare', 'Industry 4.0']","['Simulation', 'User studies']","['Task completion', 'Accuracy', 'User satisfaction']","['Interoperability', 'Realism']",2022,Jmirx Med
126,Towards defining industry 5.0 vision with intelligent and softwarized wireless network architectures and services: A survey,"['Digital twins', 'VR/AR']","['Executor', 'Environment simulator', 'Assistant', 'Coordinator']",['Smart cities'],"['Simulation', 'Qualitative methods']","['Task completion', 'Latency', 'Accuracy', 'Realism', 'User satisfaction']","['Scalability', 'Trust', 'Interoperability']",2024,Journal of Network and Computer Applications
127,Towards Diverse Non-Player Character Behaviour Discovery in Multi-Agent Environments,"['Game-based', 'Social simulation']","['Executor', 'Executor', 'Coordinator']",['Gaming'],"['Simulation', 'Quantitative Research']","['Task completion', 'Accuracy']","['Scalability', 'Trust', 'Realism']",2024,IEEE Conference on Games (CoG)
128,Towards parallel Metaverse: symbiosis of physical and virtual worlds based on Cybertwin-enabled 6G,"['Digital twins', 'VR/AR']",['Environment simulator'],"['Smart cities', 'Industry 4.0']","['Simulation', 'Quantitative Research']","['Task completion', 'Latency', 'Accuracy', 'Realism', 'User satisfaction']","['Scalability', 'Realism', 'Interoperability']",2025,Digital Communications And Networks
129,Two-Timescale Synchronization and Migration for Digital Twin Networks: A Multi-Agent Deep Reinforcement Learning Approach,['Digital twins'],"['Avatar', 'Executor', 'Coordinator', 'Environment simulator']","['Smart cities', 'Industry 4.0']","['Simulation', 'Quantitative Research']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Trust', 'Efficiency']",2024,IEEE Transactions on Wireless Communications
130,UAV-Assisted Dynamic Avatar Task Migration for Vehicular Metaverse Services: A Multi-Agent Deep Reinforcement Learning Approach,"['Blockchain-based', 'VR/AR']","['Avatar', 'Executor', 'Coordinator', 'Assistant']","['Smart cities', 'Industry 4.0']",['Simulation'],"['Task completion', 'Latency', 'Accuracy', 'User satisfaction']","['Scalability', 'Trust', 'Interoperability']",2024,IEEE Journal Of Automatica Sinica
131,Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework,"['Game-based', 'Social simulation']","['Executor', 'Environment simulator']",['Gaming'],['Simulation'],"['Task completion', 'Realism']","['Scalability', 'Trust', 'Realism']",2017,IEEE Transactions On Computational Intelligence And Ai In Games
132,User Recommendation in Social Metaverse with VR,"['Digital twins', 'VR/AR']","['Avatar', 'Coordinator']",['Social interaction'],"['Simulation', 'User studies', 'Qualitative methods']","['Task completion', 'Latency', 'Accuracy']","['Scalability', 'Realism', 'Interoperability']",2022,Proceedings of the 31st ACM International Conference on Information and Knowledge Management (CIKM ’22)
133,Vectorial-Opinion Dynamics With Familiarity Neighborhoods in Virtual Social Groups,['Social simulation'],"['Executor', 'Environment simulator']",['Social interaction'],"['Simulation', 'Quantitative Research']","['Task completion', 'Realism', 'Efficiency']","['Scalability', 'Realism']",2022,IEEE Transactions On Computational Social Systems
134,Virtual Cities: From Digital Twins to Autonomous AI Societies,"['Digital twins', 'Blockchain-based', 'Social simulation']","['Avatar', 'Executor', 'Assistant', 'Coordinator', 'Environment simulator']","['Smart cities', 'Industry 4.0']","['Simulation', 'Qualitative methods', 'Case studies']","['Task completion', 'Latency', 'Accuracy', 'User satisfaction', 'Realism']","['Scalability', 'Realism', 'Trust', 'Interoperability']",2025,IEEE Access
135,VRRC: Empowering Metaverse-Infused Driving Experience for Multiplatoon Vehicles Through IoRT,"['Digital twins', 'VR/AR']","['Executor', 'Coordinator', 'Assistant', 'Environment simulator']",['Smart cities'],"['Simulation', 'Qualitative methods']","['Task completion', 'Latency', 'Accuracy', 'User satisfaction']","['Scalability', 'Realism', 'Interoperability']",2024,IEEE Internet Of Things Journal
136,When Metaverses Meet Vehicle Road Cooperation: Multiagent DRL-Based Stackelberg Game for Vehicular Twins Migration,"['Digital twins', 'VR/AR']","['Avatar', 'Executor', 'Coordinator', 'Environment simulator']",['Smart cities'],"['Simulation', 'Qualitative methods']","['Task completion', 'Efficiency', 'Accuracy']","['Scalability', 'Trust', 'Interoperability']",2024,IEEE Internet Of Things Journal
137,Where is the research on connecting game worlds?—A systematic mapping study,['Digital twins'],"['Executor', 'Coordinator', 'Assistant', 'Environment simulator']",['Smart cities'],"['Simulation', 'Quantitative Research']","['Task completion', 'Accuracy', 'User satisfaction']","['Scalability', 'Realism', 'Interoperability']",2015,Computer Science Review
